host, ip, mac, "os"
fac-dvopc.Stanford.EDU, 171.64.144.77, 00:22:19:21:66:27, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-iis1-dev.Stanford.EDU, 171.64.144.78, 00:50:56:AE:00:04, "Microsoft Windows Vista Home Basic (100%)"
lbre-ganglia.Stanford.EDU, 171.64.144.79, 00:50:56:AE:00:02, ""
lbre-pagegate.Stanford.EDU, 171.64.144.80, 90:B1:1C:17:F5:F4, "Microsoft Windows Vista (100%)"
lbre-pserver.Stanford.EDU, 171.64.144.81, 00:50:56:AE:00:13, "Microsoft Windows Vista (100%)"
DPM-SQL.Stanford.EDU, 171.64.144.82, 00:50:56:AD:56:B0, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
DPM-SQL08dev.Stanford.EDU, 171.64.144.83, 00:50:56:AD:4D:30, "Microsoft Windows Vista (100%)"
maps-grsdt.Stanford.EDU, 171.64.144.84, 00:21:9B:2F:C3:44, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
fac-sotiserver.Stanford.EDU, 171.64.144.86, 00:50:56:AD:04:46, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-rover.Stanford.EDU, 171.64.144.87, 00:50:56:AE:00:06, "Microsoft Windows Vista (100%)"
fac-hvac.Stanford.EDU, 171.64.144.89, 00:50:56:AD:7A:FB, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
fac-camserver.Stanford.EDU, 171.64.144.90, 00:13:72:28:C3:D2, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-mge.Stanford.EDU, 171.64.144.91, 00:50:56:AE:00:17, ""
lbre-db01.Stanford.EDU, 171.64.144.93, 00:50:56:AE:00:0E, ""
lbrehr.Stanford.EDU, 171.64.144.94, 00:50:56:AD:48:95, "Linux 2.6.9 - 2.6.26 (100%)"
lbre-syslog.Stanford.EDU, 171.64.144.96, 00:50:56:AE:00:1A, ""
lbre-dbvip.Stanford.EDU, 171.64.144.97, 00:50:56:AE:00:1D, ""
fac-fs2.Stanford.EDU, 171.64.144.98, 00:18:8B:E6:30:12, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-quickbooks.Stanford.EDU, 171.64.144.101, 00:50:56:AE:00:2C, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-haproxy.Stanford.EDU, 171.64.144.102, 00:50:56:AE:00:08, ""
lbre-mge-dev.Stanford.EDU, 171.64.144.103, 00:50:56:AE:00:21, "Linux 2.6.17 - 2.6.22 (100%)"
lbre-mge-test.Stanford.EDU, 171.64.144.104, 00:50:56:AE:00:2B, ""
lbre-cf1.Stanford.EDU, 171.64.144.107, 00:50:56:AE:00:15, ""
PATS-AVAILDB.Stanford.EDU, 171.64.144.108, 00:13:72:63:BB:99, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
pats-avlserver.Stanford.EDU, 171.64.144.109, 00:0B:DB:E2:AE:C8, "Microsoft Windows 2000 Server SP4 (100%)"
fac-xgate.Stanford.EDU, 171.64.144.110, 00:0B:DB:E2:AE:C0, "Microsoft Windows 2000 Server SP4 (100%)"
lbre-fuelmaster.Stanford.EDU, 171.64.144.111, 00:50:56:AE:00:18, "Microsoft Windows Vista SP0 or SP1, or Windows Server 2008 (100%)"
fac-pserver.Stanford.EDU, 171.64.144.114, 00:50:56:AD:2B:83, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-dfs1.Stanford.EDU, 171.64.144.115, 00:50:56:AE:00:1F, "Microsoft Windows Vista (100%)"
lbre-dfs2.Stanford.EDU, 171.64.144.116, 00:50:56:AE:00:2D, "Microsoft Windows Vista Home Basic (98%) *OR* Microsoft Windows Vista (97%) *OR* Microsoft Windows Vista Home Premium (93%)"
lbre-cf2.Stanford.EDU, 171.64.144.118, 00:50:56:AE:00:24, ""
fac-harvester.Stanford.EDU, 171.64.144.119, 08:00:20:82:65:90, "Sun Solaris 8 (SPARC) (100%)"
lbre-basemap.Stanford.EDU, 171.64.144.120, 00:50:56:AE:00:08, ""
lbre-vdr01.Stanford.EDU, 171.64.144.122, 00:50:56:AE:00:0D, "Linux 2.6.17 - 2.6.22 (100%) *OR* Linux 2.6.23 (100%)"
fac-deltavweb.Stanford.EDU, 171.64.144.124, 00:22:19:21:66:09, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-pats-repo.Stanford.EDU, 171.64.144.127, 00:50:56:AE:00:33, "Microsoft Windows Vista SP0 or SP1, or Windows Server 2008 (100%)"
lbre-vc01.Stanford.EDU, 171.64.144.130, 00:0C:29:E6:B7:F2, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
ISES.Stanford.EDU, 171.64.144.133, 00:06:5B:8C:72:1D, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
bonair.Stanford.EDU, 171.64.144.134, 00:50:56:AD:64:72, "Linux 2.6.9 - 2.6.26 (100%)"
lbre-arcgis-dev.Stanford.EDU, 171.64.144.135, 00:50:56:AE:00:08, ""
lbre-krbtest1.Stanford.EDU, 171.64.144.136, 00:50:56:AE:00:31, "Linux 2.6.22 (92%) *OR* Linux 2.6.17 - 2.6.23 (88%) *OR* Linux 2.6.15 - 2.6.20 (87%) *OR* Linux 2.6.21 (87%) *OR* Linux 2.6.20 (86%) *OR* Linux 2.6.20 (Ubuntu, x86_64) (86%) *OR* Linux 2.6.23 (86%) *OR* Vodavi XTS-IP PBX (85%)"
fops-cf.Stanford.EDU, 171.64.144.137, 00:50:56:AD:13:85, "Linux 2.6.9 - 2.6.15 (x86) (100%)"
lbre-krbtest2.Stanford.EDU, 171.64.144.138, 00:50:56:AE:00:30, ""
lbre-archive.Stanford.EDU, 171.64.144.139, 00:1C:23:B8:15:E8, ""
lbre-krbtest3.Stanford.EDU, 171.64.144.140, 00:50:56:AE:00:0B, "Linux 2.6.22 (87%) *OR* Linux 2.6.9 - 2.6.19 (87%) *OR* OpenWrt 7.09 (Linux 2.6.22) (85%) *OR* Vodavi XTS-IP PBX (85%)"
fac-web3.Stanford.EDU, 171.64.144.142, 00:50:56:AD:17:4D, "Linux 2.6.9 - 2.6.26 (100%)"
hannahousetours.Stanford.EDU, 171.64.144.143, 00:50:56:AD:17:4D, "Linux 2.6.9 - 2.6.26 (100%)"
lbre-xc2.Stanford.EDU, 171.64.144.144, 00:50:56:AE:00:34, "Microsoft Windows Vista (100%)"
hannahousetours-dev.Stanford.EDU, 171.64.144.145, 00:50:56:AD:1C:A8, "Linux 2.6.9 - 2.6.26 (100%)"
lbre-oraapp-dev.Stanford.EDU, 171.64.144.146, 00:50:56:AE:00:16, ""
lbre-puppet01.Stanford.EDU, 171.64.144.147, 00:50:56:AE:00:0A, ""
lbre-sem-hist1.Stanford.EDU, 171.64.144.149, 90:B1:1C:41:82:72, "Microsoft Windows Vista SP0 or SP1, or Windows Server 2008 (100%)"
tmpsw02.Stanford.EDU, 171.64.144.151, 00:15:C5:E0:9B:4B, "SMC 8024L2 switch (96%) *OR* Netgear ProSafe GS724T switch (89%)"
lbre-4d1.Stanford.EDU, 171.64.144.153, 90:B1:1C:09:40:AB, "Microsoft Windows Vista (100%) *OR* Microsoft Windows Vista Home Basic (100%)"
lbre-db02.Stanford.EDU, 171.64.144.154, 00:50:56:AE:00:1C, "Linux 2.6.18 - 2.6.24 (90%) *OR* Linux 2.6.21 (Arch Linux 0.8, x86) (90%) *OR* Linux 2.6.18-8.el5 (Red Hat Enterprise Linux 5) (89%) *OR* Linux 2.6.22 (89%) *OR* Linux 2.6.23 (89%) *OR* OpenWrt 7.09 (Linux 2.6.22) (89%) *OR* OpenWrt 0.9 - 7.09 (Linux 2.4.30 - 2.4.34) (88%) *OR* Linux 2.6.18.8 (openSUSE 10.2, SMP) (87%) *OR* Linux 2.6.9 - 2.6.19 (86%) *OR* D-Link DSA-3100 or Linksys WRT54GL (DD-WRT v23) wireless router (85%)"
lbre-fai.Stanford.EDU, 171.64.144.155, 00:50:56:AE:00:2A, ""
fac-netbackup.Stanford.EDU, 171.64.144.156, 00:06:5B:FE:C8:B5, "Microsoft Windows Server 2003 SP2 (100%)"
testrep60.Stanford.EDU, 171.64.144.157, 00:50:56:AE:00:19, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-arcgis-5.Stanford.EDU, 171.64.144.158, 00:50:56:AE:00:29, "Microsoft Windows Vista SP0 or SP1, or Windows Server 2008 (100%)"
lbre-arcgis-6.Stanford.EDU, 171.64.144.159, 00:50:56:AE:00:23, "Microsoft Windows Vista SP0 or SP1, or Windows Server 2008 (100%)"
lbre-4d2.Stanford.EDU, 171.64.144.161, 00:15:C5:EA:97:81, "Microsoft Windows Vista (100%) *OR* Microsoft Windows Vista Home Basic (100%)"
lbre-arcgisnew.Stanford.EDU, 171.64.144.162, 00:50:56:AE:00:08, ""
lbre-oraapp.Stanford.EDU, 171.64.144.163, 00:50:56:AE:00:28, ""
form1-archives.Stanford.EDU, 171.64.144.164, 00:50:56:AD:48:95, "Linux 2.6.9 - 2.6.26 (100%)"
form1-new.Stanford.EDU, 171.64.144.165, 00:50:56:AD:48:95, "Linux 2.6.9 - 2.6.26 (100%)"
lbre-lpr.Stanford.EDU, 171.64.144.166, 00:50:56:AE:00:45, "Microsoft Windows Vista Home Basic (100%)"
lbre-boss.Stanford.EDU, 171.64.144.167, 00:50:56:AE:00:3E, "Microsoft Windows Vista SP0 or SP1, or Windows Server 2008 (100%)"
lbre-arcgis-7.Stanford.EDU, 171.64.144.168, 00:50:56:AE:00:20, "Microsoft Windows Vista SP0 or SP1, or Windows Server 2008 (100%)"
lbre-arcgis-8.Stanford.EDU, 171.64.144.169, 00:50:56:AE:00:22, "Microsoft Windows Vista SP0 or SP1, or Windows Server 2008 (100%)"
form1.Stanford.EDU, 171.64.144.170, 00:50:56:AD:17:4D, "Linux 2.6.9 - 2.6.26 (100%)"
lbre-web3.Stanford.EDU, 171.64.144.171, 00:50:56:AE:00:38, "Linux 2.6.18 - 2.6.24 (90%) *OR* Linux 2.6.21 (Arch Linux 0.8, x86) (90%) *OR* Linux 2.6.18-8.el5 (Red Hat Enterprise Linux 5) (89%) *OR* Linux 2.6.22 (89%) *OR* Linux 2.6.23 (89%) *OR* OpenWrt 0.9 - 7.09 (Linux 2.4.30 - 2.4.34) (88%) *OR* OpenWrt 7.09 (Linux 2.6.22) (88%) *OR* Linux 2.6.18.8 (openSUSE 10.2, SMP) (87%) *OR* Linux 2.6.9 - 2.6.19 (86%) *OR* D-Link DSA-3100 or Linksys WRT54GL (DD-WRT v23) wireless router (85%)"
lbre-custmapdev.Stanford.EDU, 171.64.144.172, 00:50:56:AE:00:39, "Microsoft Windows Vista (100%)"
lbre-web3-dev.Stanford.EDU, 171.64.144.173, 00:50:56:AE:00:3A, "Linux 2.6.18 - 2.6.24 (90%) *OR* Linux 2.6.21 (Arch Linux 0.8, x86) (90%) *OR* Linux 2.6.18-8.el5 (Red Hat Enterprise Linux 5) (89%) *OR* Linux 2.6.22 (89%) *OR* Linux 2.6.23 (89%) *OR* OpenWrt 7.09 (Linux 2.6.22) (89%) *OR* OpenWrt 0.9 - 7.09 (Linux 2.4.30 - 2.4.34) (88%) *OR* Linux 2.6.18.8 (openSUSE 10.2, SMP) (87%) *OR* Linux 2.6.9 - 2.6.19 (86%) *OR* D-Link DSA-3100 or Linksys WRT54GL (DD-WRT v23) wireless router (85%)"
arc-2ks.Stanford.EDU, 171.64.144.177, 00:50:56:AE:00:2E, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-pptest.Stanford.EDU, 171.64.144.178, 00:50:56:AE:00:3C, "Microsoft Windows Vista (100%) *OR* Microsoft Windows Vista Home Basic (100%)"
lbre-oraapp2.Stanford.EDU, 171.64.144.183, 00:50:56:AE:00:05, ""
lbre-custommaps.Stanford.EDU, 171.64.144.184, 00:50:56:AE:00:41, "Microsoft Windows Vista SP0 or SP1, or Windows Server 2008 (100%)"
lbre-edna-db.Stanford.EDU, 171.64.144.186, 00:50:56:96:75:34, "Microsoft Windows Vista (100%)"
lbre-traka.Stanford.EDU, 171.64.144.187, 00:50:56:AE:00:1E, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-sem-hist2.Stanford.EDU, 171.64.144.188, 90:B1:1C:41:B9:84, "Microsoft Windows Vista SP0 or SP1, or Windows Server 2008 (100%)"
lbre-sem-col1.Stanford.EDU, 171.64.144.189, 90:B1:1C:49:18:D6, "Microsoft Windows Vista (100%)"
