host, ip, mac, "os"
lbre-vmh-vc2.Stanford.EDU, 172.24.144.151, 90:B1:1C:46:96:9D, "FreeBSD 5.2.1-RELEASE (93%) *OR* FreeBSD 5.4 or 5.5 (x86) (93%) *OR* FreeNAS (FreeBSD 6.3-STABLE) (93%) *OR* FreeNAS 0.686 (FreeBSD 6.2-RELEASE) (93%) *OR* FreeBSD 5.1 (91%) *OR* FreeBSD 7.0-BETA4 - 7.0 (91%) *OR* FreeBSD 7.0-RELEASE-p1 - 7.0-STABLE (91%) *OR* FreeBSD 7.0-CURRENT (pre-release) (90%) *OR* FreeBSD 7.0-PRERELEASE (90%) *OR* FreeBSD 7.0-RELEASE-p2 (90%)"
lbre-4d1-drac.Stanford.EDU, 172.24.144.153, 90:B1:1C:09:40:AD, ""
lbre-pagegate-drac.Stanford.EDU, 172.24.144.180, 90:B1:1C:17:F5:F6, "Linux 2.6.9 - 2.6.26 (100%)"
lbre-vc2.Stanford.EDU, 172.24.144.182, 00:0C:29:CD:F6:86, ""
lbre-traka-333bonair.Stanford.EDU, 172.24.144.198, 00:1E:C9:CD:0C:DD, ""
nas01-ct1.Stanford.EDU, 172.24.144.200, 00:A0:98:25:3A:C5, "NetApp FAS3020 or FAS 3040 NAS device (Data ONTAP 7.0.X - 7.2.X) (100%)"
nas01-ct2.Stanford.EDU, 172.24.144.201, 00:A0:98:25:B9:91, "NetApp FAS3020 or FAS 3040 NAS device (Data ONTAP 7.0.X - 7.2.X) (100%)"
nas01-ct1-bmc.Stanford.EDU, 172.24.144.202, 00:A0:98:25:3A:C1, ""
nas01-ct2-bmc.Stanford.EDU, 172.24.144.203, 00:A0:98:25:B9:8D, ""
lbre-intelevent-drac.Stanford.EDU, 172.24.144.210, 78:2B:CB:6F:A8:30, ""
lbre-cp01-drac.Stanford.EDU, 172.24.144.212, 08:9E:01:17:A4:8B, "Linux 2.6.9 - 2.6.26 (100%)"
lbre-vmh01-drac.Stanford.EDU, 172.24.144.226, 00:24:E8:80:A9:D7, ""
lbre-vmh03-drac.Stanford.EDU, 172.24.144.228, 00:24:E8:80:84:B4, "Linux 2.6.9 - 2.6.26 (100%)"
lbre-vmh05-drac.Stanford.EDU, 172.24.144.232, 00:24:E8:80:A3:40, ""
lbre-vmh06-drac.Stanford.EDU, 172.24.144.233, 78:2B:CB:25:80:02, ""
lbre-vmh07-drac.Stanford.EDU, 172.24.144.234, 78:2B:CB:2D:61:08, "Linux 2.6.9 - 2.6.26 (100%)"
